"method","cv_scheme","rate","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",2.53980731811065,0.0343009810952012,NA,2.47346060297847,2.60793368018911
"randomraw","classic",1.51930017760591,0.0259192660838173,NA,1.46933927546004,1.57095986490298
"random","classic",1.15967466478478,0.0224539529665327,NA,1.1164903178981,1.20452932424482
"EGAD","classic",1.94396900267899,0.0296079266470157,NA,1.88679612756767,2.00287430536991
"ppr","classic",3.70303775690416,0.0424773961208665,NA,3.62071250371512,3.7872348646814
"raw","classic",2.76584513663467,0.035974613256056,NA,2.6962273344737,2.83726050175176
"gm","classic",1.46038373749212,0.0253767694598453,NA,1.4114836266942,1.51097796701082
"mc","classic",3.08936586721334,0.0382907545334129,NA,3.01522158944936,3.16533335224818
"z","classic",2.98602960409817,0.0375602257023635,NA,2.91331296480781,3.06056125938357
"knn","classic",2.28384629369781,0.0323406586028895,NA,2.22133130990097,2.34812063828054
"wsld","classic",2.24850737047261,0.0320639074574788,NA,2.18653336452476,2.31223793658804
"COSNet","classic",2.81644653598964,0.0363426944009269,NA,2.74610935704404,2.88858528876161
"bagsvm","classic",2.52886647500688,0.0342186778129328,NA,2.46268062655378,2.59683110325311
"rf","classic",1.57772427978008,0.0264489145278802,NA,1.52672773839489,1.63042423374358
"svm","classic",1.59594078354787,0.0266124434274545,NA,1.54462449445081,1.64896192812025
"pr","block",2.32830425804655,0.0316847900306387,NA,2.26702408282575,2.39124090436685
"randomraw","block",1.39278009301988,0.0238747569653455,NA,1.34676376999153,1.44036870514021
"random","block",1.06310248053607,0.0206607534790455,NA,1.02336967717079,1.1043779284593
"EGAD","block",1.78208452041746,0.0273054959898644,NA,1.7293623439448,1.83641401065046
"ppr","block",3.39466640466285,0.0393518545628317,NA,3.31840778112126,3.47267748843477
"raw","block",2.53551872333147,0.0332503786433455,NA,2.4711795640635,2.60153300466482
"gm","block",1.33876993350592,0.0233710320318342,NA,1.29373832985334,1.38536896797563
"mc","block",2.83209818792368,0.0354202616881505,NA,2.76351970721063,2.90237848679444
"z","block",2.73736727676124,0.0347354592243273,NA,2.67012665442407,2.80630119004578
"knn","block",2.09365844897875,0.0298535780059237,NA,2.03595657049343,2.15299568001971
"wsld","block",2.06126238301213,0.0295952786225476,NA,2.00406526514107,2.12009193788495
"COSNet","block",2.58190627908862,0.0335949648911925,NA,2.51689386902269,2.64859798660709
"bagsvm","block",2.31827451626122,0.0316078516209971,NA,2.2571446763092,2.38105992458322
"rf","block",1.44633891415354,0.0243667586475759,NA,1.39936081916179,1.49489411590635
"svm","block",1.46303843422611,0.0245187054543123,NA,1.41576331740427,1.51189216001674
"pr","representative",1.64688466358679,0.0232375404059016,NA,1.60196392770748,1.69306502365428
"randomraw","representative",0.985158261432668,0.0172821963987283,NA,0.951861477124911,1.01961979068691
"random","representative",0.751966657693122,0.0148805020716713,NA,0.723359759072932,0.781704880856046
"EGAD","representative",1.26052583366115,0.0198776003740172,NA,1.22216236131788,1.30009352899215
"ppr","representative",2.40115698818637,0.029239009596365,NA,2.34452804012452,2.45915373296625
"raw","representative",1.79345413524054,0.0244510874147453,NA,1.74616550281041,1.84202341074461
"gm","representative",0.94695513438258,0.0169038835554415,NA,0.914397006114923,0.980672531227458
"mc","representative",2.00323435192987,0.0261434086127714,NA,1.95264398887009,2.05513544282797
"z","representative",1.93622812444828,0.0256080437922786,NA,1.88668221891727,1.98707514827588
"knn","representative",1.48091211812021,0.021826280640495,NA,1.43874535640732,1.52431470366073
"wsld","representative",1.45799733624984,0.0216279387682661,NA,1.41621765186503,1.50100955860296
"COSNet","representative",1.8262655489094,0.0247190392115613,NA,1.77845411360942,1.87536233271962
"bagsvm","representative",1.6397903038746,0.0231780673846041,NA,1.59498561880263,1.68585359578336
"rf","representative",1.02304214229574,0.0176523887970283,NA,0.989022588384094,1.05823187175438
"svm","representative",1.03485425121653,0.0177668533607243,NA,1.00061122103584,1.07026915024228
