cv_scheme = classic:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        2.5398073 0.03430098 Inf 2.4734606 2.6079337
 randomraw 1.5193002 0.02591927 Inf 1.4693393 1.5709599
 random    1.1596747 0.02245395 Inf 1.1164903 1.2045293
 EGAD      1.9439690 0.02960793 Inf 1.8867961 2.0028743
 ppr       3.7030378 0.04247740 Inf 3.6207125 3.7872349
 raw       2.7658451 0.03597461 Inf 2.6962273 2.8372605
 gm        1.4603837 0.02537677 Inf 1.4114836 1.5109780
 mc        3.0893659 0.03829075 Inf 3.0152216 3.1653334
 z         2.9860296 0.03756023 Inf 2.9133130 3.0605613
 knn       2.2838463 0.03234066 Inf 2.2213313 2.3481206
 wsld      2.2485074 0.03206391 Inf 2.1865334 2.3122379
 COSNet    2.8164465 0.03634269 Inf 2.7461094 2.8885853
 bagsvm    2.5288665 0.03421868 Inf 2.4626806 2.5968311
 rf        1.5777243 0.02644891 Inf 1.5267277 1.6304242
 svm       1.5959408 0.02661244 Inf 1.5446245 1.6489619

cv_scheme = block:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        2.3283043 0.03168479 Inf 2.2670241 2.3912409
 randomraw 1.3927801 0.02387476 Inf 1.3467638 1.4403687
 random    1.0631025 0.02066075 Inf 1.0233697 1.1043779
 EGAD      1.7820845 0.02730550 Inf 1.7293623 1.8364140
 ppr       3.3946664 0.03935185 Inf 3.3184078 3.4726775
 raw       2.5355187 0.03325038 Inf 2.4711796 2.6015330
 gm        1.3387699 0.02337103 Inf 1.2937383 1.3853690
 mc        2.8320982 0.03542026 Inf 2.7635197 2.9023785
 z         2.7373673 0.03473546 Inf 2.6701267 2.8063012
 knn       2.0936584 0.02985358 Inf 2.0359566 2.1529957
 wsld      2.0612624 0.02959528 Inf 2.0040653 2.1200919
 COSNet    2.5819063 0.03359496 Inf 2.5168939 2.6485980
 bagsvm    2.3182745 0.03160785 Inf 2.2571447 2.3810599
 rf        1.4463389 0.02436676 Inf 1.3993608 1.4948941
 svm       1.4630384 0.02451871 Inf 1.4157633 1.5118922

cv_scheme = representative:
 method         rate         SE  df asymp.LCL asymp.UCL
 pr        1.6468847 0.02323754 Inf 1.6019639 1.6930650
 randomraw 0.9851583 0.01728220 Inf 0.9518615 1.0196198
 random    0.7519667 0.01488050 Inf 0.7233598 0.7817049
 EGAD      1.2605258 0.01987760 Inf 1.2221624 1.3000935
 ppr       2.4011570 0.02923901 Inf 2.3445280 2.4591537
 raw       1.7934541 0.02445109 Inf 1.7461655 1.8420234
 gm        0.9469551 0.01690388 Inf 0.9143970 0.9806725
 mc        2.0032344 0.02614341 Inf 1.9526440 2.0551354
 z         1.9362281 0.02560804 Inf 1.8866822 1.9870751
 knn       1.4809121 0.02182628 Inf 1.4387454 1.5243147
 wsld      1.4579973 0.02162794 Inf 1.4162177 1.5010096
 COSNet    1.8262655 0.02471904 Inf 1.7784541 1.8753623
 bagsvm    1.6397903 0.02317807 Inf 1.5949856 1.6858536
 rf        1.0230421 0.01765239 Inf 0.9890226 1.0582319
 svm       1.0348543 0.01776685 Inf 1.0006112 1.0702692

Results are averaged over the levels of: network, disease 
Confidence level used: 0.95 
Intervals are back-transformed from the log scale 
