"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","string",0.00971299097376672,9.1567919268592e-05,NA,0.00953515317538412,0.00989411244841076
"association_score.datatypes.animal_model","string",0.0171915045735396,0.000125706931164677,NA,0.0169468503232425,0.017439628131983
"association_score.datatypes.genetic_association","string",0.0186187568000585,0.000131559643360797,NA,0.0183626486695854,0.0188783682352289
"association_score.datatypes.literature","string",0.0490920145515036,0.000235756288462799,NA,0.0486319976374434,0.0495561561705015
"association_score.datatypes.rna_expression","string",0.0125927661167201,0.000105572210285151,NA,0.012387517883395,0.012801371018609
"association_score.datatypes.somatic_mutation","string",0.00962042901629402,9.10931944106883e-05,NA,0.00944352043313001,0.00980061889654589
"association_score.datatypes.affected_pathway","omnipath",0.0113685703523632,0.000105694155922337,NA,0.0111632684098348,0.0115776037643836
"association_score.datatypes.animal_model","omnipath",0.0200959288576637,0.000143631197014589,NA,0.0198163397840236,0.0203793806419226
"association_score.datatypes.genetic_association","omnipath",0.0217589702076261,0.000150049456306471,NA,0.0214668137839531,0.0220550131681964
"association_score.datatypes.literature","omnipath",0.0570729091979982,0.000260956994028184,NA,0.0565635907504754,0.0575865337973431
"association_score.datatypes.rna_expression","omnipath",0.0147319009952609,0.000121362339275474,NA,0.0144959171108174,0.0149716681782311
"association_score.datatypes.somatic_mutation","omnipath",0.0112604106087072,0.000105160384454464,NA,0.0110561539435986,0.0114683970487209
