"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic",0.49582346938733,0.000645975922772713,Inf,0.494557409331026,0.497089583006394
"association_score.datatypes.animal_model","classic",0.50528204016785,0.000646011480764534,Inf,0.504015849762675,0.506548162822143
"association_score.datatypes.genetic_association","classic",0.518050626881556,0.000645598726935172,Inf,0.516785163571428,0.519315858682449
"association_score.datatypes.literature","classic",0.69358065872936,0.000585175141582394,Inf,0.692432539898249,0.694726381238905
"association_score.datatypes.rna_expression","classic",0.512759234683649,0.00064583402033911,Inf,0.511493344137936,0.514024961572703
"association_score.datatypes.somatic_mutation","classic",0.495593743926736,0.000645971446256199,Inf,0.494327694117077,0.496859850244978
"association_score.datatypes.affected_pathway","block",0.49790802453123,0.000646028398934298,Inf,0.496641848258919,0.499174227635459
"association_score.datatypes.animal_model","block",0.507366343721133,0.000645975014796742,Inf,0.506100211420233,0.508632381537221
"association_score.datatypes.genetic_association","block",0.520132224671478,0.000645442280462032,Inf,0.518867054660629,0.521397136518397
"association_score.datatypes.literature","block",0.695349957779731,0.000583511805089706,Inf,0.694205091009682,0.696492412243258
"association_score.datatypes.rna_expression","block",0.514842283567249,0.000645727269417719,Inf,0.513576588897955,0.516107787880728
"association_score.datatypes.somatic_mutation","block",0.497678286622371,0.000646026082306731,Inf,0.496412116363803,0.498944486659409
"association_score.datatypes.affected_pathway","representative",0.506928506495855,0.000646046430034617,Inf,0.505662237023885,0.508194687081531
"association_score.datatypes.animal_model","representative",0.516381948798446,0.000645608479931011,Inf,0.5151164770954,0.517647210435967
"association_score.datatypes.genetic_association","representative",0.529131023860318,0.000644557692886724,Inf,0.527867530075865,0.530394144445863
"association_score.datatypes.literature","representative",0.702939559317926,0.000576201255686652,Inf,0.701808987500175,0.704067652133595
"association_score.datatypes.rna_expression","representative",0.523849471018707,0.000645057157765281,Inf,0.522585032076286,0.525113604294032
"association_score.datatypes.somatic_mutation","representative",0.506698806775471,0.00064605345790949,Inf,0.505432525002261,0.507965002608426
