"label","coef","lower","upper"
"(Intercept)",0.0575255460770124,0.0476233623348143,0.0674277298192106
"methodassociation_score.datatypes.animal_model",0.0378354577060476,0.0316523575222865,0.0440185578898086
"methodassociation_score.datatypes.genetic_association",0.088940410282111,0.0827547755958819,0.0951260449683402
"methodassociation_score.datatypes.literature",0.833619490629511,0.827158766028446,0.840080215230576
"methodassociation_score.datatypes.rna_expression",0.0677545323677729,0.0615701931369616,0.0739388715985842
"methodassociation_score.datatypes.somatic_mutation",-0.00091896955372792,-0.00710149152729275,0.00526355241983691
"cv_schemeblock",0.00833856031235056,0.0039100649673745,0.0127670556573266
"cv_schemerepresentative",0.0444223110566543,0.0399906844876422,0.0488539376256664
"networkomnipath",0.00605854213744117,0.00244082756107778,0.00967625671380455
"diseaseAlzheimers disease",-0.0158245337169562,-0.0278563671756107,-0.00379270025830176
"diseasearthritis",-0.0948110508102117,-0.106822951911312,-0.0827991497091111
"diseaseasthma",-0.00221109939837593,-0.0142472720756746,0.00982507327892276
"diseasebipolar disorder",-0.076511919028464,-0.0885276444923783,-0.0644961935645497
"diseasecardiac arrhythmia",-0.138436428490912,-0.150441132831199,-0.126431724150625
"diseaseCOPD",-0.0827980726266779,-0.0948124305402952,-0.0707837147130606
"diseasecoronary heart disease",-0.163020827072874,-0.175022664535355,-0.151018989610393
"diseasedrug dependence",-0.0320352699968331,-0.0440622840847109,-0.0200082559089554
"diseasehypertension",-0.0674263731738152,-0.0794441748008351,-0.0554085715467952
"diseasemultiple sclerosis",-0.157987314797311,-0.16998966960214,-0.145984959992482
"diseaseobesity",-0.16032685163754,-0.172328961528505,-0.148324741746575
"diseaseParkinson's disease",-0.127080985538657,-0.139087303102594,-0.11507466797472
"diseasepsoriasis",-0.0238279799853122,-0.0358573868699712,-0.0117985731006532
"diseaserheumatoid arthritis",-0.0369093373709773,-0.0489349762029001,-0.0248836985390546
"diseaseschizophrenia",-0.0426657823162103,-0.054689840795584,-0.0306417238368366
"diseasestroke",-0.154551947007435,-0.166554675475915,-0.142549218538955
"diseaselupus",-0.123913699194971,-0.135920499335405,-0.111906899054538
"diseasetype I diabetes",-0.0684741982167925,-0.0804917543921205,-0.0564566420414644
"diseasetype II diabetes",-0.115113801821326,-0.12712201745846,-0.103105586184191
"diseaseulcerative colitis",0.00521051039847516,-0.00682814039118023,0.0172491611881305
"diseaseunipolar depression",-0.0210322577526165,-0.0330625018100146,-0.00900201369521844
