"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic","string",0.0463418809814118,0.000365740455942551,NA,0.045630294598615,0.0470640170365996
"association_score.datatypes.animal_model","classic","string",0.062549459855512,0.000437478168178502,NA,0.0616974834897118,0.0634124060102254
"association_score.datatypes.genetic_association","classic","string",0.082112034523429,0.000516348970401651,NA,0.0811056711519286,0.083129755239643
"association_score.datatypes.literature","classic","string",0.27689680615076,0.00105268942682928,NA,0.274838323420587,0.278964775443391
"association_score.datatypes.rna_expression","classic","string",0.066534449647151,0.00045414227836941,NA,0.0656498575959565,0.0674301008461838
"association_score.datatypes.somatic_mutation","classic","string",0.0459411934455116,0.000363872063731627,NA,0.0452332631686901,0.0466596618348945
"association_score.datatypes.affected_pathway","block","string",0.0479036648842117,0.000376225657102729,NA,0.0471716426869055,0.0486464668300897
"association_score.datatypes.animal_model","block","string",0.0646204490182925,0.000449215455381145,NA,0.0637455667073034,0.0655064986207365
"association_score.datatypes.genetic_association","block","string",0.0847721618570676,0.000529166097761474,NA,0.0837407557003718,0.0858150817063719
"association_score.datatypes.literature","block","string",0.283915376958526,0.00106349975119502,NA,0.281835581587102,0.286004407950604
"association_score.datatypes.rna_expression","block","string",0.0687277072435512,0.00046613333603811,NA,0.06781970778892,0.0696469551106671
"association_score.datatypes.somatic_mutation","block","string",0.0474901460938989,0.000374321137939309,NA,0.0467618511965493,0.0482292099643693
"association_score.datatypes.affected_pathway","representative","string",0.0545633320862618,0.000420363915541512,NA,0.053745271190739,0.055393115831319
"association_score.datatypes.animal_model","representative","string",0.0734248931967142,0.000498278675137558,NA,0.0724542452629661,0.0744075014754088
"association_score.datatypes.genetic_association","representative","string",0.0960403386942982,0.000582302897454266,NA,0.0949050910260378,0.0971877079384279
"association_score.datatypes.literature","representative","string",0.312612723892288,0.00110412880713586,NA,0.310452765554193,0.314780849780801
"association_score.datatypes.rna_expression","representative","string",0.0780450676050593,0.000516172317166742,NA,0.0770393715325076,0.0790627677190947
"association_score.datatypes.somatic_mutation","representative","string",0.0540955913826562,0.000418315075033287,NA,0.0532815424563062,0.0549213560412888
"association_score.datatypes.affected_pathway","classic","omnipath",0.0459193265846973,0.000362797387374938,NA,0.0452134743637254,0.0466356600153643
"association_score.datatypes.animal_model","classic","omnipath",0.0619887276633655,0.000434142577030762,NA,0.0611432582325193,0.0628451054121435
"association_score.datatypes.genetic_association","classic","omnipath",0.0813911573006135,0.000512652946420109,NA,0.0803920118611682,0.0824016078377041
"association_score.datatypes.literature","classic","omnipath",0.27497816878045,0.00104893808008367,NA,0.272927065591929,0.277038813012528
"association_score.datatypes.rna_expression","classic","omnipath",0.0659405063621043,0.000450724340788811,NA,0.0650625835377807,0.0668294286773888
"association_score.datatypes.somatic_mutation","classic","omnipath",0.0455221181974297,0.000360940048853061,NA,0.0448199003368765,0.0462348055433913
"association_score.datatypes.affected_pathway","block","omnipath",0.0474675786515651,0.000373208742265322,NA,0.0467414349224351,0.0482044328125207
"association_score.datatypes.animal_model","block","omnipath",0.0640424195143272,0.000445807461372761,NA,0.0631741859472787,0.064921758714913
"association_score.datatypes.genetic_association","block","omnipath",0.0840300688404212,0.000525404600636092,NA,0.0830060092123034,0.0850655904688741
"association_score.datatypes.literature","block","omnipath",0.281967071061506,0.00105984504593208,NA,0.279894467578507,0.284048968162433
"association_score.datatypes.rna_expression","block","omnipath",0.0681156137540591,0.000462644011849042,NA,0.0672144234215793,0.0690279928121185
"association_score.datatypes.somatic_mutation","block","omnipath",0.047057638230391,0.000371315305411765,NA,0.046335199991095,0.0477907759445457
"association_score.datatypes.affected_pathway","representative","omnipath",0.0540700631991961,0.000417042706161555,NA,0.053258475608927,0.0548933012096623
"association_score.datatypes.animal_model","representative","omnipath",0.0727742353326621,0.000494578058549807,NA,0.0718108095499458,0.0737495595980821
"association_score.datatypes.genetic_association","representative","omnipath",0.0952098659030762,0.000578284501686214,NA,0.0940824697247533,0.0963493349140787
"association_score.datatypes.literature","representative","omnipath",0.310552893447609,0.00110090252989434,NA,0.30839929398853,0.312714731813533
"association_score.datatypes.rna_expression","representative","omnipath",0.0773568859761886,0.000512396020102194,NA,0.0763585616955265,0.0783671550814178
"association_score.datatypes.somatic_mutation","representative","omnipath",0.0536063112547344,0.000415004932501041,NA,0.052798713816447,0.0544255517392216
