"method","network","prob","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","string",0.0494847630564352,0.000357475390943304,NA,0.048788807439862,0.0501901224188036
"association_score.datatypes.animal_model","string",0.0667146359234336,0.000417496793270625,NA,0.0659010020239464,0.0675375888911189
"association_score.datatypes.genetic_association","string",0.0874583533269208,0.000480595912242596,NA,0.086520977634415,0.0884049017860375
"association_score.datatypes.literature","string",0.290906125192606,0.000856762464121369,NA,0.289229764264595,0.29258820259436
"association_score.datatypes.rna_expression","string",0.0709449045315029,0.00043106334516742,NA,0.0701046684569508,0.0717944336929127
"association_score.datatypes.somatic_mutation","string",0.049058299014554,0.00035587444908483,NA,0.0483654818997424,0.0497605215316243
"association_score.datatypes.affected_pathway","omnipath",0.0490350247440862,0.000354657224891754,NA,0.0483445637447751,0.0497348316026261
"association_score.datatypes.animal_model","omnipath",0.0661191980748602,0.000414413466537786,NA,0.0653115835773836,0.0669360840066952
"association_score.datatypes.genetic_association","omnipath",0.086694972912743,0.000477313303191895,NA,0.0857640130068408,0.0876350696252267
"association_score.datatypes.literature","omnipath",0.288929202996554,0.000854276122823529,NA,0.287257737012284,0.290606429253717
"association_score.datatypes.rna_expression","omnipath",0.0703145554721592,0.000427930228958832,NA,0.0694804375957874,0.0711579212409586
"association_score.datatypes.somatic_mutation","omnipath",0.0486122383620441,0.000353064345809275,NA,0.0479248999330199,0.0493089240464633
