"method","cv_scheme","network","rate","SE","df","asymp.LCL","asymp.UCL"
"association_score.datatypes.affected_pathway","classic","string",1.48743284673666,0.0142603066272384,NA,1.45974411732424,1.51564678171584
"association_score.datatypes.animal_model","classic","string",1.92896233270965,0.0167728525157129,NA,1.89636668912063,1.96211824556888
"association_score.datatypes.genetic_association","classic","string",2.18133299757394,0.0181526210089575,NA,2.14604309330715,2.21720321513781
"association_score.datatypes.literature","classic","string",6.9302300330202,0.0415603222325621,NA,6.84925014242411,7.01216736312347
"association_score.datatypes.rna_expression","classic","string",1.6592870678247,0.0152560805516216,NA,1.6296535087683,1.68945948242164
"association_score.datatypes.somatic_mutation","classic","string",1.47904273775944,0.0142110033717211,NA,1.45145030614616,1.50715970836598
"association_score.datatypes.affected_pathway","block","string",1.48156352383296,0.0142097115553544,NA,1.45397313631697,1.50967746261979
"association_score.datatypes.animal_model","block","string",1.92135076031189,0.016714782325953,NA,1.8888681019011,1.95439201945101
"association_score.datatypes.genetic_association","block","string",2.17272558531238,0.0180905795714653,NA,2.13755644540575,2.2084733618227
"association_score.datatypes.literature","block","string",6.90288375116961,0.0414385868713955,NA,6.82214154421944,6.98458156772433
"association_score.datatypes.rna_expression","block","string",1.65273961822901,0.0152024822992494,NA,1.62321028417624,1.68280614797238
"association_score.datatypes.somatic_mutation","block","string",1.47320652173442,0.0141605584766842,NA,1.44571213782504,1.50122379061293
"association_score.datatypes.affected_pathway","representative","string",1.10891735876583,0.010991374367512,NA,1.08758256505343,1.13067067097732
"association_score.datatypes.animal_model","representative","string",1.43808832771183,0.0130174709534361,NA,1.41279954663344,1.46382977205016
"association_score.datatypes.genetic_association","representative","string",1.62623679554033,0.014138164063364,NA,1.59876125295956,1.65418451959204
"association_score.datatypes.literature","representative","string",5.16665501956407,0.0336004126685966,NA,5.10121735004449,5.23293211393037
"association_score.datatypes.rna_expression","representative","string",1.23703885975314,0.0117918980858535,NA,1.21414172472512,1.26036780499063
"association_score.datatypes.somatic_mutation","representative","string",1.10266232849191,0.0109518285353359,NA,1.08140471798825,1.12433780845444
"association_score.datatypes.affected_pathway","classic","omnipath",1.87619707734148,0.0176746162807315,NA,1.84187331358489,1.91116047290647
"association_score.datatypes.animal_model","classic","omnipath",2.43312731655198,0.020708516691279,NA,2.39287602679049,2.47405568540545
"association_score.datatypes.genetic_association","classic","omnipath",2.75145906837791,0.0223669996624247,NA,2.70796794285945,2.79564868000802
"association_score.datatypes.literature","classic","omnipath",8.7415558704269,0.0500595095035606,NA,8.64398959872931,8.84022339025352
"association_score.datatypes.rna_expression","classic","omnipath",2.0929681322779,0.0188793133460976,NA,2.05629053546195,2.13029993922855
"association_score.datatypes.somatic_mutation","classic","omnipath",1.8656140799469,0.017614885071494,NA,1.83140702895896,1.90046005080289
"association_score.datatypes.affected_pathway","block","omnipath",1.86879371355127,0.017612158521166,NA,1.83459137182078,1.90363369056002
"association_score.datatypes.animal_model","block","omnipath",2.42352633865373,0.0206372588652696,NA,2.38341372236825,2.4643140462883
"association_score.datatypes.genetic_association","block","omnipath",2.74060197202963,0.022291120904404,NA,2.69725857901572,2.78464186842389
"association_score.datatypes.literature","block","omnipath",8.7070622028998,0.0499177956704557,NA,8.60977274234034,8.80545102338653
"association_score.datatypes.rna_expression","block","omnipath",2.08470940259983,0.0188133039491659,NA,2.04816019026929,2.12191083194363
"association_score.datatypes.somatic_mutation","block","omnipath",1.85825247604464,0.0175526054851447,NA,1.82416649780414,1.89297537745745
"association_score.datatypes.affected_pathway","representative","omnipath",1.39875054668471,0.0136386758638538,NA,1.37227304286005,1.42573892421079
"association_score.datatypes.animal_model","representative","omnipath",1.813955583495,0.0160990923824933,NA,1.78267479465227,1.84578525974757
"association_score.datatypes.genetic_association","representative","omnipath",2.05127964570096,0.017455481984205,NA,2.01735125226527,2.08577865661332
"association_score.datatypes.literature","representative","omnipath",6.51704247933284,0.0407634250759645,NA,6.43763536944846,6.59742906207306
"association_score.datatypes.rna_expression","representative","omnipath",1.56035863959751,0.0146121912594547,NA,1.53198049882751,1.58926245211999
"association_score.datatypes.somatic_mutation","representative","omnipath",1.39086066476878,0.0135905331054483,NA,1.36447715656219,1.41775432406288
