"uniprot.id","n_disease"
"P35354",19
"P04035",18
"P23219",18
"P04150",17
"P23975",15
"P37231",15
"P07550",14
"P11473",14
"P27815",14
"P31645",14
"P35499",14
"Q07343",14
"Q08493",14
"Q08499",14
"Q14524",14
"P08588",13
"P08913",13
"P14416",13
"P14867",13
"P18089",13
"P18505",13
"P18507",13
"P18825",13
"P47870",13
"P48169",13
"P35498",12
"Q01668",12
"Q13698",12
"Q13936",12
"Q15858",12
"Q99250",12
"Q9NY46",12
"Q9UI33",12
"Q9UQD0",12
"Q9Y5Y9",12
"P13945",11
"P35462",11
"Q01959",11
"O00217",10
"O00483",10
"O15399",10
"O43181",10
"O43674",10
"O43678",10
"O60391",10
"O75251",10
"O75306",10
"O75380",10
"O75438",10
"O75489",10
"O95139",10
"O95168",10
"O95169",10
"O95182",10
"O96000",10
"P01375",10
"P03886",10
"P03891",10
"P03905",10
"P03915",10
"P03923",10
"P19404",10
"P21917",10
"P28331",10
"P35372",10
"P43304",10
"P49821",10
"P51970",10
"P56181",10
"P56556",10
"P62942",10
"Q05586",10
"Q12879",10
"Q13224",10
"Q14432",10
"Q14957",10
"Q16718",10
"Q16795",10
"Q8NER1",10
"Q8TCU5",10
"Q9P0J0",10
"Q9UI09",10
"Q9Y375",10
"Q9Y6M9",10
