"disease","STRING_id"
"allergy","9606.ENSP00000171887"
"allergy","9606.ENSP00000180166"
"allergy","9606.ENSP00000216225"
"allergy","9606.ENSP00000216862"
"allergy","9606.ENSP00000222145"
"allergy","9606.ENSP00000222567"
"allergy","9606.ENSP00000226730"
"allergy","9606.ENSP00000233946"
"allergy","9606.ENSP00000233954"
"allergy","9606.ENSP00000233957"
"allergy","9606.ENSP00000234091"
"allergy","9606.ENSP00000235329"
"allergy","9606.ENSP00000246194"
"allergy","9606.ENSP00000252487"
"allergy","9606.ENSP00000259569"
"allergy","9606.ENSP00000260443"
"allergy","9606.ENSP00000261475"
"allergy","9606.ENSP00000261667"
"allergy","9606.ENSP00000262127"
"allergy","9606.ENSP00000262809"
"allergy","9606.ENSP00000263671"
"allergy","9606.ENSP00000264018"
"allergy","9606.ENSP00000264260"
"allergy","9606.ENSP00000264497"
"allergy","9606.ENSP00000264657"
"allergy","9606.ENSP00000265104"
"allergy","9606.ENSP00000265335"
"allergy","9606.ENSP00000266682"
"allergy","9606.ENSP00000268164"
"allergy","9606.ENSP00000270722"
"allergy","9606.ENSP00000274793"
"allergy","9606.ENSP00000288199"
"allergy","9606.ENSP00000289902"
"allergy","9606.ENSP00000295025"
"allergy","9606.ENSP00000296591"
"allergy","9606.ENSP00000300134"
"allergy","9606.ENSP00000302111"
"allergy","9606.ENSP00000302846"
"allergy","9606.ENSP00000304915"
"allergy","9606.ENSP00000306157"
"allergy","9606.ENSP00000306920"
"allergy","9606.ENSP00000308193"
"allergy","9606.ENSP00000308937"
"allergy","9606.ENSP00000309117"
"allergy","9606.ENSP00000314556"
"allergy","9606.ENSP00000317895"
"allergy","9606.ENSP00000318089"
"allergy","9606.ENSP00000318176"
"allergy","9606.ENSP00000324532"
"allergy","9606.ENSP00000327255"
"allergy","9606.ENSP00000331614"
"allergy","9606.ENSP00000332973"
"allergy","9606.ENSP00000338010"
"allergy","9606.ENSP00000338629"
"allergy","9606.ENSP00000339292"
"allergy","9606.ENSP00000339804"
"allergy","9606.ENSP00000340836"
"allergy","9606.ENSP00000344544"
"allergy","9606.ENSP00000345512"
"allergy","9606.ENSP00000345731"
"allergy","9606.ENSP00000346550"
"allergy","9606.ENSP00000348577"
"allergy","9606.ENSP00000349016"
"allergy","9606.ENSP00000350720"
"allergy","9606.ENSP00000353878"
"allergy","9606.ENSP00000353988"
"allergy","9606.ENSP00000354932"
"allergy","9606.ENSP00000357470"
"allergy","9606.ENSP00000357789"
"allergy","9606.ENSP00000357791"
"allergy","9606.ENSP00000358918"
"allergy","9606.ENSP00000359013"
"allergy","9606.ENSP00000359035"
"allergy","9606.ENSP00000359073"
"allergy","9606.ENSP00000360107"
"allergy","9606.ENSP00000360798"
"allergy","9606.ENSP00000363296"
"allergy","9606.ENSP00000363868"
"allergy","9606.ENSP00000364685"
"allergy","9606.ENSP00000365643"
"allergy","9606.ENSP00000365840"
"allergy","9606.ENSP00000368020"
"allergy","9606.ENSP00000368144"
"allergy","9606.ENSP00000368391"
"allergy","9606.ENSP00000368632"
"allergy","9606.ENSP00000369218"
"allergy","9606.ENSP00000369293"
"allergy","9606.ENSP00000369312"
"allergy","9606.ENSP00000370256"
"allergy","9606.ENSP00000370658"
"allergy","9606.ENSP00000370842"
"allergy","9606.ENSP00000370867"
"allergy","9606.ENSP00000373570"
"allergy","9606.ENSP00000373952"
"allergy","9606.ENSP00000374069"
"allergy","9606.ENSP00000376436"
"allergy","9606.ENSP00000376943"
"allergy","9606.ENSP00000379258"
"allergy","9606.ENSP00000379330"
"allergy","9606.ENSP00000380150"
"allergy","9606.ENSP00000382034"
"allergy","9606.ENSP00000386043"
"allergy","9606.ENSP00000387091"
"allergy","9606.ENSP00000399168"
"allergy","9606.ENSP00000402861"
"allergy","9606.ENSP00000405574"
"allergy","9606.ENSP00000406909"
"allergy","9606.ENSP00000418823"
"allergy","9606.ENSP00000423067"
"allergy","9606.ENSP00000427562"
"allergy","9606.ENSP00000454303"
"allergy","9606.ENSP00000387122"
"Alzheimers disease","9606.ENSP00000178640"
"Alzheimers disease","9606.ENSP00000183605"
"Alzheimers disease","9606.ENSP00000217244"
"Alzheimers disease","9606.ENSP00000219473"
"Alzheimers disease","9606.ENSP00000222120"
"Alzheimers disease","9606.ENSP00000222598"
"Alzheimers disease","9606.ENSP00000222792"
"Alzheimers disease","9606.ENSP00000229214"
"Alzheimers disease","9606.ENSP00000229335"
"Alzheimers disease","9606.ENSP00000230990"
"Alzheimers disease","9606.ENSP00000233146"
"Alzheimers disease","9606.ENSP00000234739"
"Alzheimers disease","9606.ENSP00000237449"
"Alzheimers disease","9606.ENSP00000239243"
"Alzheimers disease","9606.ENSP00000244364"
"Alzheimers disease","9606.ENSP00000245312"
"Alzheimers disease","9606.ENSP00000247883"
"Alzheimers disease","9606.ENSP00000252483"
"Alzheimers disease","9606.ENSP00000252486"
"Alzheimers disease","9606.ENSP00000252487"
"Alzheimers disease","9606.ENSP00000252491"
"Alzheimers disease","9606.ENSP00000256078"
"Alzheimers disease","9606.ENSP00000256194"
"Alzheimers disease","9606.ENSP00000258443"
"Alzheimers disease","9606.ENSP00000260197"
"Alzheimers disease","9606.ENSP00000260408"
"Alzheimers disease","9606.ENSP00000261173"
"Alzheimers disease","9606.ENSP00000261655"
"Alzheimers disease","9606.ENSP00000261769"
"Alzheimers disease","9606.ENSP00000261884"
"Alzheimers disease","9606.ENSP00000262262"
"Alzheimers disease","9606.ENSP00000262903"
"Alzheimers disease","9606.ENSP00000262999"
"Alzheimers disease","9606.ENSP00000263094"
"Alzheimers disease","9606.ENSP00000263207"
"Alzheimers disease","9606.ENSP00000263360"
"Alzheimers disease","9606.ENSP00000263686"
"Alzheimers disease","9606.ENSP00000263985"
"Alzheimers disease","9606.ENSP00000264497"
"Alzheimers disease","9606.ENSP00000264664"
"Alzheimers disease","9606.ENSP00000264674"
"Alzheimers disease","9606.ENSP00000264870"
"Alzheimers disease","9606.ENSP00000264972"
"Alzheimers disease","9606.ENSP00000265071"
"Alzheimers disease","9606.ENSP00000265175"
"Alzheimers disease","9606.ENSP00000267814"
"Alzheimers disease","9606.ENSP00000270162"
"Alzheimers disease","9606.ENSP00000271015"
"Alzheimers disease","9606.ENSP00000271588"
"Alzheimers disease","9606.ENSP00000271915"
"Alzheimers disease","9606.ENSP00000273063"
"Alzheimers disease","9606.ENSP00000274031"
"Alzheimers disease","9606.ENSP00000274364"
"Alzheimers disease","9606.ENSP00000274695"
"Alzheimers disease","9606.ENSP00000276297"
"Alzheimers disease","9606.ENSP00000278353"
"Alzheimers disease","9606.ENSP00000282884"
"Alzheimers disease","9606.ENSP00000284110"
"Alzheimers disease","9606.ENSP00000284637"
"Alzheimers disease","9606.ENSP00000284719"
"Alzheimers disease","9606.ENSP00000284981"
"Alzheimers disease","9606.ENSP00000285518"
"Alzheimers disease","9606.ENSP00000291539"
"Alzheimers disease","9606.ENSP00000295025"
"Alzheimers disease","9606.ENSP00000295156"
"Alzheimers disease","9606.ENSP00000295951"
"Alzheimers disease","9606.ENSP00000296411"
"Alzheimers disease","9606.ENSP00000296677"
"Alzheimers disease","9606.ENSP00000296679"
"Alzheimers disease","9606.ENSP00000296869"
"Alzheimers disease","9606.ENSP00000297792"
"Alzheimers disease","9606.ENSP00000298139"
"Alzheimers disease","9606.ENSP00000301585"
"Alzheimers disease","9606.ENSP00000302578"
"Alzheimers disease","9606.ENSP00000302936"
"Alzheimers disease","9606.ENSP00000303212"
"Alzheimers disease","9606.ENSP00000303511"
"Alzheimers disease","9606.ENSP00000305682"
"Alzheimers disease","9606.ENSP00000307134"
"Alzheimers disease","9606.ENSP00000308318"
"Alzheimers disease","9606.ENSP00000308344"
"Alzheimers disease","9606.ENSP00000309117"
"Alzheimers disease","9606.ENSP00000309477"
"Alzheimers disease","9606.ENSP00000313691"
"Alzheimers disease","9606.ENSP00000313885"
"Alzheimers disease","9606.ENSP00000314544"
"Alzheimers disease","9606.ENSP00000314709"
"Alzheimers disease","9606.ENSP00000315130"
"Alzheimers disease","9606.ENSP00000316333"
"Alzheimers disease","9606.ENSP00000316779"
"Alzheimers disease","9606.ENSP00000319166"
"Alzheimers disease","9606.ENSP00000319984"
"Alzheimers disease","9606.ENSP00000320251"
"Alzheimers disease","9606.ENSP00000322926"
"Alzheimers disease","9606.ENSP00000325146"
"Alzheimers disease","9606.ENSP00000326119"
"Alzheimers disease","9606.ENSP00000326366"
"Alzheimers disease","9606.ENSP00000330523"
"Alzheimers disease","9606.ENSP00000331574"
"Alzheimers disease","9606.ENSP00000332816"
"Alzheimers disease","9606.ENSP00000333275"
"Alzheimers disease","9606.ENSP00000333298"
"Alzheimers disease","9606.ENSP00000334941"
"Alzheimers disease","9606.ENSP00000336524"
"Alzheimers disease","9606.ENSP00000336655"
"Alzheimers disease","9606.ENSP00000336783"
"Alzheimers disease","9606.ENSP00000337125"
"Alzheimers disease","9606.ENSP00000337224"
"Alzheimers disease","9606.ENSP00000337907"
"Alzheimers disease","9606.ENSP00000337949"
"Alzheimers disease","9606.ENSP00000338283"
"Alzheimers disease","9606.ENSP00000339952"
"Alzheimers disease","9606.ENSP00000340874"
"Alzheimers disease","9606.ENSP00000341390"
"Alzheimers disease","9606.ENSP00000342105"
"Alzheimers disease","9606.ENSP00000342858"
"Alzheimers disease","9606.ENSP00000343838"
"Alzheimers disease","9606.ENSP00000344741"
"Alzheimers disease","9606.ENSP00000345193"
"Alzheimers disease","9606.ENSP00000345808"
"Alzheimers disease","9606.ENSP00000346986"
"Alzheimers disease","9606.ENSP00000347244"
"Alzheimers disease","9606.ENSP00000347294"
"Alzheimers disease","9606.ENSP00000347451"
"Alzheimers disease","9606.ENSP00000347665"
"Alzheimers disease","9606.ENSP00000348578"
"Alzheimers disease","9606.ENSP00000348753"
"Alzheimers disease","9606.ENSP00000348897"
"Alzheimers disease","9606.ENSP00000351755"
"Alzheimers disease","9606.ENSP00000352264"
"Alzheimers disease","9606.ENSP00000354213"
"Alzheimers disease","9606.ENSP00000354687"
"Alzheimers disease","9606.ENSP00000354778"
"Alzheimers disease","9606.ENSP00000355001"
"Alzheimers disease","9606.ENSP00000355046"
"Alzheimers disease","9606.ENSP00000355273"
"Alzheimers disease","9606.ENSP00000355377"
"Alzheimers disease","9606.ENSP00000355747"
"Alzheimers disease","9606.ENSP00000355896"
"Alzheimers disease","9606.ENSP00000355988"
"Alzheimers disease","9606.ENSP00000356016"
"Alzheimers disease","9606.ENSP00000356290"
"Alzheimers disease","9606.ENSP00000356404"
"Alzheimers disease","9606.ENSP00000356791"
"Alzheimers disease","9606.ENSP00000356832"
"Alzheimers disease","9606.ENSP00000357643"
"Alzheimers disease","9606.ENSP00000358715"
"Alzheimers disease","9606.ENSP00000358814"
"Alzheimers disease","9606.ENSP00000358956"
"Alzheimers disease","9606.ENSP00000361502"
"Alzheimers disease","9606.ENSP00000362174"
"Alzheimers disease","9606.ENSP00000362205"
"Alzheimers disease","9606.ENSP00000363338"
"Alzheimers disease","9606.ENSP00000363827"
"Alzheimers disease","9606.ENSP00000363832"
"Alzheimers disease","9606.ENSP00000363868"
"Alzheimers disease","9606.ENSP00000365103"
"Alzheimers disease","9606.ENSP00000365682"
"Alzheimers disease","9606.ENSP00000365837"
"Alzheimers disease","9606.ENSP00000367263"
"Alzheimers disease","9606.ENSP00000369217"
"Alzheimers disease","9606.ENSP00000371347"
"Alzheimers disease","9606.ENSP00000374309"
"Alzheimers disease","9606.ENSP00000374455"
"Alzheimers disease","9606.ENSP00000376024"
"Alzheimers disease","9606.ENSP00000376293"
"Alzheimers disease","9606.ENSP00000376309"
"Alzheimers disease","9606.ENSP00000376822"
"Alzheimers disease","9606.ENSP00000377015"
"Alzheimers disease","9606.ENSP00000377954"
"Alzheimers disease","9606.ENSP00000379701"
"Alzheimers disease","9606.ENSP00000379866"
"Alzheimers disease","9606.ENSP00000379901"
"Alzheimers disease","9606.ENSP00000380855"
"Alzheimers disease","9606.ENSP00000381949"
"Alzheimers disease","9606.ENSP00000382083"
"Alzheimers disease","9606.ENSP00000382178"
"Alzheimers disease","9606.ENSP00000383986"
"Alzheimers disease","9606.ENSP00000384193"
"Alzheimers disease","9606.ENSP00000384551"
"Alzheimers disease","9606.ENSP00000384610"
"Alzheimers disease","9606.ENSP00000385142"
"Alzheimers disease","9606.ENSP00000385551"
"Alzheimers disease","9606.ENSP00000385795"
"Alzheimers disease","9606.ENSP00000389414"
"Alzheimers disease","9606.ENSP00000389951"
