X...target.gene_info.symbol	association_score.overall	association_score.datatypes.genetic_association	association_score.datatypes.somatic_mutation	association_score.datatypes.known_drug	association_score.datatypes.affected_pathway	association_score.datatypes.rna_expression	association_score.datatypes.literature	association_score.datatypes.animal_model	target.gene_info.name	known_drug_binary
APP	1	1	0	1	1	0	0.120106680771685	0	amyloid beta precursor protein	1
PSEN1	1	1	0	1	0	0	0.107211056658749	0.150037416666667	presenilin 1	1
PSEN2	1	1	0	1	0	0	0.0945400221598583	0	presenilin 2	1
SORL1	1	1	0	0	0	0	0.102311442017718	0.1304	sortilin related receptor 1	0
ABCA7	1	1	0	0	0	0	0.0997917907439879	0	ATP binding cassette subfamily A member 7	0
ADAM10	1	1	0	0	0	0	0.0647308071510642	0	ADAM metallopeptidase domain 10	0
TOMM40	1	1	0	0	0	0	0.0579733868775863	0	translocase of outer mitochondrial membrane 40	0
GRIN3A	1	0.144599163379932	0	1	0	0	0.03	0	glutamate ionotropic receptor NMDA type subunit 3A	1
BCHE	1	0.0278346513575372	0	1	0	0	0.120743280982369	0	butyrylcholinesterase	1
ACHE	1	0	0	1	0	0	0.0913665033715034	0	acetylcholinesterase (Cartwright blood group)	1
PTGS2	1	0	0	1	0	0	0.0835313377998246	0	prostaglandin-endoperoxide synthase 2	1
GRIN2B	1	0.039810934356415	0	1	0	0	0.0628851867889662	0	glutamate ionotropic receptor NMDA type subunit 2B	1
NCSTN	1	0	0	1	0	0	0.0657790390326728	0	nicastrin	1
CDK5	1	0	0	0	1	0	0.0605200320679545	0	cyclin dependent kinase 5	0
HTR6	1	0	0	1	0	0	0.058294124736671	0	5-hydroxytryptamine receptor 6	1
CAST	1	0	0	0	1	0	0.0581046518498445	0	calpastatin	0
SLC6A4	1	0	0	1	0	0	0.0538566906557848	0	solute carrier family 6 member 4	1
ADRB1	1	0	0	1	0	0	0.0499	0	adrenoceptor beta 1	1
PTGS1	1	0	0	1	0	0	0.0469423344217834	0	prostaglandin-endoperoxide synthase 1	1
ADRB2	1	0	0	1	0	0	0.0464491111111111	0	adrenoceptor beta 2	1
JUN	1	0	0	0	1	0	0.0454656666666667	0	Jun proto-oncogene, AP-1 transcription factor subunit	0
PSENEN	1	0	0	1	0	0	0.0425537777777778	0	presenilin enhancer gamma-secretase subunit	1
GRIN2D	1	0	0	1	0	0	0.0413888888888889	0	glutamate ionotropic receptor NMDA type subunit 2D	1
GRIN1	1	0	0	1	0	0	0.0411114444444445	0	glutamate ionotropic receptor NMDA type subunit 1	1
GRIN2A	1	0	0	1	0	0	0.0395448185941043	0	glutamate ionotropic receptor NMDA type subunit 2A	1
CDK5R1	1	0	0	0	1	0	0.0386	0	cyclin dependent kinase 5 regulatory subunit 1	0
TRPV1	1	0	0	1	0	0	0.0350888888888889	0	transient receptor potential cation channel subfamily V member 1	1
APH1B	1	0	0	1	0	0	0.0340444444444445	0	aph-1 homolog B, gamma-secretase subunit	1
GRIN3B	1	0	0	1	0	0	0.0292	0	glutamate ionotropic receptor NMDA type subunit 3B	1
CAPN1	1	0	0	0	1	0	0.028	0	calpain 1	0
FOXO3	1	0.0272596477287106	0	0	1	0	0	0	forkhead box O3	0
PDE3A	1	0.0254800473265236	0	1	0	0	0	0	phosphodiesterase 3A	1
PRDX2	1	0	0	0	1	0	0.0195	0	peroxiredoxin 2	0
GRIN2C	1	0	0	1	0	0	0.0165	0	glutamate ionotropic receptor NMDA type subunit 2C	1
PPARG	1	0	0	0.984477465986395	0	0	0.0780052513405604	0	peroxisome proliferator activated receptor gamma	1
APH1A	1	0	0	1	0	0	0.0148	0	aph-1 homolog A, gamma-secretase subunit	1
LMNB1	1	0	0	0	1	0	0.0144	0	lamin B1	0
LMNA	1	0	0	0	1	0	0.0144	0	lamin A/C	0
STAT4	1	0	0	0	1	0	0	0	signal transducer and activator of transcription 4	0
CDC25A	1	0	0	0	1	0	0	0	cell division cycle 25A	0
ADRA1B	1	0	0	1	0	0	0	0	adrenoceptor alpha 1B	1
CAPNS1	1	0	0	0	1	0	0	0	calpain small subunit 1	0
CDC25B	1	0	0	0	1	0	0	0	cell division cycle 25B	0
ADRA1A	1	0	0	1	0	0	0	0	adrenoceptor alpha 1A	1
CAPN2	1	0	0	0	1	0	0	0	calpain 2	0
CAPNS2	1	0	0	0	1	0	0	0	calpain small subunit 2	0
CDC25C	1	0	0	0	1	0	0	0	cell division cycle 25C	0
PRDX1	1	0	0	0	1	0	0	0	peroxiredoxin 1	0
ADRA1D	1	0	0	1	0	0	0	0	adrenoceptor alpha 1D	1
ADRB3	1	0	0	1	0	0	0	0	adrenoceptor beta 3	1
